,title,subtitle,link
0,Kejutan! Jalan Mason Greenwood Pindah ke Barcelona Makin Terbuka Lebar,Mason Greenwood dikabarkan semakin dekat dengan kemungkinan hijrah ke Barcelona pada musim panas 2024.,https://www.bola.com/spanyol/read/5512424/kejutan-jalan-mason-greenwood-pindah-ke-barcelona-makin-terbuka-lebar
1,Deltras FC Pantang Jemawa meski Memuncaki Grup Y 12 Besar Pegadaian Liga 2 Musim Ini,"Pelatih Deltras FC, Widodo Cahyono Putro, meminta anak asuhnya tak jemawa meski saat ini berada di puncak Grup Y Pegadaian Liga 2 2023/2024.",https://www.bola.com/indonesia/read/5512148/deltras-fc-pantang-jemawa-meski-memuncaki-grup-y-12-besar-pegadaian-liga-2-musim-ini
2,"Piala Asia 2023: Wahai Penggawa Timnas Indonesia, Waspadai Takumi Minamino Lagi On Fire Banget Nih!",Takumi Minamino jadi salah satu sosok yang wajib diwaspadai Timnas Indonesia ketika bertemu Jepang pada matchday 3 Piala Asia 2023 hari Rabu (24/01/2024).,https://www.bola.com/indonesia/read/5512451/piala-asia-2023-wahai-penggawa-timnas-indonesia-waspadai-takumi-minamino-lagi-on-fire-banget-nih
3,Prediksi Nasib dan 3 Catatan Jelang Duel Menyeramkan Timnas Indonesia Vs Jepang,Timnas Indonesia akan berjuang maksimal agar bisa melibas Jepang.,https://www.bola.com/indonesia/read/5512501/prediksi-nasib-dan-3-catatan-jelang-duel-menyeramkan-timnas-indonesia-vs-jepang
4,Pratama Arhan dan Deretan Pemain Indonesia yang Pernah Tampil di Liga Jepang,Berikut ini deretan pemain asal Indonesia yang pernah merumput di kompetisi sepak bola Jepang.,https://www.bola.com/indonesia/read/5512052/pratama-arhan-dan-deretan-pemain-indonesia-yang-pernah-tampil-di-liga-jepang
5,"Dahsyat, Starting XI Wonderkid asal Brasil Hasil Riset FMScout : Jadi Rebutan Real Madrid, Chelsea sampai Barcelona",FMScout mengidentifikasi 11 nama wonderkid dalam komposisi Starting XI terbaik.,https://www.bola.com/e-sports/read/5512484/dahsyat-starting-xi-wonderkid-asal-brasil-hasil-riset-fmscout-jadi-rebutan-real-madrid-chelsea-sampai-barcelona
6,Jadwal Lengkap Liga Inggris pekan ke-22,Jadwal lengkap Liga Inggris 2023/2024. Premier League musim ini memasuki pekan ke-22.,https://www.bola.com/inggris/read/5512251/jadwal-lengkap-liga-inggris-pekan-ke-22
7,"Jepang Tantang Timnas Indonesia di Piala Asia 2023, Sho Yamamoto: Menarik, Kita Lihat Nanti!","Winger Persis Solo, Sho Yamamoto, antusias menyambut pertandingan Piala Asia 2023. Timnas Jepang bersua Timnas Indonesia dalam laga terakhir Grup D di Stadion Al Thumama, Doha, Qatar, Rabu (24/1/2024) malam.",https://www.bola.com/indonesia/read/5512230/jepang-tantang-timnas-indonesia-di-piala-asia-2023-sho-yamamoto-menarik-kita-lihat-nanti
8,3 Pemain Kunci Timnas Indonesia Vs Jepang di Piala Asia 2023: Yakob Sayuri Bakal Bikin Lawan Kerepotan,"Justin Hubner, Marselino Ferdinan, dan Yakob Sayuri potensial menjadi pemain kunci Timnas Indonesia saat mengahdapi Jepang di Piala Asia 2023.",https://www.bola.com/indonesia/read/5512222/3-pemain-kunci-timnas-indonesia-vs-jepang-di-piala-asia-2023-yakob-sayuri-bakal-bikin-lawan-kerepotan
9,"Lagi Hits Banget, 5 Streamer Cantik Terpopuler di Twitch :Ada yang Kalian Ikuti ?",,https://www.bola.com/e-sports/read/5512419/lagi-hits-banget-5-streamer-cantik-terpopuler-di-twitch-ada-yang-kalian-ikuti
10,5 Bintang Liverpool yang Bersinar Musim Ini: Sukses Menjawab Keraguan,,https://www.bola.com/inggris/read/5512259/5-bintang-liverpool-yang-bersinar-musim-ini-sukses-menjawab-keraguan
11,"Prediksi Semifinal Carabao Cup, Fulham Vs Liverpool: Awas Kejutan di Craven Cottage",,https://www.bola.com/inggris/read/5512421/prediksi-semifinal-carabao-cup-fulham-vs-liverpool-awas-kejutan-di-craven-cottage
12,"Hanya Setengah Musim di MU, tapi Obral Rahasia ke Publik : Setan Merah Kecolongan, Simak Apa Saja yang Dibongkar Marcel Sabitzer",,https://www.bola.com/inggris/read/5512398/hanya-setengah-musim-di-mu-tapi-obral-rahasia-ke-publik-setan-merah-kecolongan-simak-apa-saja-yang-dibongkar-marcel-sabitzer
13,Prediksi Starting XI Jepang Saat Hadapi Timnas Indonesia di Piala Asia 2023: Perubahan Minor,,https://www.bola.com/indonesia/read/5512220/prediksi-starting-xi-jepang-saat-hadapi-timnas-indonesia-di-piala-asia-2023-perubahan-minor
14,"Prediksi Copa del Rey, Athletic Bilbao Vs Barcelona: Duel 2 Klub Tersukses di Turnamen",,https://www.bola.com/spanyol/read/5512285/prediksi-copa-del-rey-athletic-bilbao-vs-barcelona-duel-2-klub-tersukses-di-turnamen
15,Fakta- Fakta Menarik yang Mengiringi Perjumpaan Timnas Indonesia Vs Jepang di Piala Asia 2023,,https://www.bola.com/indonesia/read/5511749/fakta-fakta-menarik-yang-mengiringi-perjumpaan-timnas-indonesia-vs-jepang-di-piala-asia-2023
16,Jadwal Siaran Langsung Jepang Vs Timnas Indonesia di Piala Asia 2023 di RCTI: Penentuan Takdir,,https://www.bola.com/indonesia/read/5512371/jadwal-siaran-langsung-jepang-vs-timnas-indonesia-di-piala-asia-2023-di-rcti-penentuan-takdir
17,3 Bintang yang Masih Dikejar MU setelah Masuknya CEO Baru: Cocok buat Tambah Daya Gedor,,https://www.bola.com/inggris/read/5512032/3-bintang-yang-masih-dikejar-mu-setelah-masuknya-ceo-baru-cocok-buat-tambah-daya-gedor
18,Pemain Cadangan Timnas Indonesia yang Bisa Jadi Pembeda saat Menantang Jepang: Saatnya Pembuktian Bro!,,https://www.bola.com/indonesia/read/5512252/pemain-cadangan-timnas-indonesia-yang-bisa-jadi-pembeda-saat-menantang-jepang-saatnya-pembuktian-bro
19,"Waspada Timnas Indonesia! Di Piala Asia 2023, Jepang Lebih Kenal Al Thumama Stadium, Ini Faktanya!",,https://www.bola.com/indonesia/read/5512246/waspada-timnas-indonesia-di-piala-asia-2023-jepang-lebih-kenal-al-thumama-stadium-ini-faktanya
20,Prediksi Jepang Vs Timnas Indonesia di Piala Asia 2023: Melawan Kemustahilan,,https://www.bola.com/indonesia/read/5512115/prediksi-jepang-vs-timnas-indonesia-di-piala-asia-2023-melawan-kemustahilan
21,Perang Kapten Jepang Vs Timnas Indonesia di Panggung Piala Asia 2023: Jangan Takut!,,https://www.bola.com/indonesia/read/5512241/perang-kapten-jepang-vs-timnas-indonesia-di-panggung-piala-asia-2023-jangan-takut
22,Menerka Komposisi Pertahanan Timnas Indonesia saat Bersua Jepang: Jangan Ubah Tim Pemenang!,,https://www.bola.com/indonesia/read/5512219/menerka-komposisi-pertahanan-timnas-indonesia-saat-bersua-jepang-jangan-ubah-tim-pemenang
23,Catat Nih! Skenario Timnas Indonesia Lolos ke 16 Besar Piala Asia 2023 saat hadapi Jepang: Yuk Bisa Yuk,,https://www.bola.com/indonesia/read/5512365/catat-nih-skenario-timnas-indonesia-lolos-ke-16-besar-piala-asia-2023-saat-hadapi-jepang-yuk-bisa-yuk
24,"Jadwal Pebulutangkis Tanah Air di Hari Kedua Indonesia Masters, Rabu 24 Januari 2024: Jonatan Christie Langsung Bertemu Lawan Berat",,https://www.bola.com/ragam/read/5512328/jadwal-pebulutangkis-tanah-air-di-hari-kedua-indonesia-masters-rabu-24-januari-2024-jonatan-christie-langsung-bertemu-lawan-berat
25,"Bungkam Middlesbrough di Semifinal Carabao Cup, Mauricio Pochettino Ungkap Makna Pentingnya Chelsea Lolos ke Final",,https://www.bola.com/inggris/read/5512325/bungkam-middlesbrough-di-semifinal-carabao-cup-mauricio-pochettino-ungkap-makna-pentingnya-chelsea-lolos-ke-final
26,"BRI Liga 1: Bomber Anyar PSS Asal Sudan Selatan Pede Segera Cetak Gol, Sang Pelatih juga Optimistis",,https://www.bola.com/indonesia/read/5512205/bri-liga-1-bomber-anyar-pss-asal-sudan-selatan-pede-segera-cetak-gol-sang-pelatih-juga-optimistis
27,Pebulutangkis Brasil Ngebet Ingin Berlatih di Indonesia: Banyak Pemain Bagus!,,https://www.bola.com/ragam/read/5512195/pebulutangkis-brasil-ngebet-ingin-berlatih-di-indonesia-banyak-pemain-bagus
28,"BRI Liga 1: Performa Persebaya Meningkat, Persiapan Kain Matang Hadapi PSIS",,https://www.bola.com/indonesia/read/5512014/bri-liga-1-performa-persebaya-meningkat-persiapan-kain-matang-hadapi-psis
29,Hasil Semifinal Carabao Cup: Chelsea Ngamuk! Bantai Middlesbrough 6-1 dan Lolos ke Final,,https://www.bola.com/inggris/read/5512318/hasil-semifinal-carabao-cup-chelsea-ngamuk-bantai-middlesbrough-6-1-dan-lolos-ke-final
30,Skenario Terkini Timnas Indonesia Lolos Ke-16 Besar Piala Asia 2023: Skuad Garuda Masih Ada Harapan?,,https://www.bola.com/indonesia/read/5512296/skenario-terkini-timnas-indonesia-lolos-ke-16-besar-piala-asia-2023-skuad-garuda-masih-ada-harapan
31,"Liga Italia: Inter Milan Layak Panik, Juventus dan AC Milan Sudah Beri Ancaman di Jalur Juara",,https://www.bola.com/dunia/read/5512136/liga-italia-inter-milan-layak-panik-juventus-dan-ac-milan-sudah-beri-ancaman-di-jalur-juara
32,Reaksi Netizen Setelah Timnas Indonesia Wajib Mati-matian Lawan Jepang demi ke 16 Besar Piala Asia: Selamat Berjuang!,,https://www.bola.com/indonesia/read/5512276/reaksi-netizen-setelah-timnas-indonesia-wajib-mati-matian-lawan-jepang-demi-ke-16-besar-piala-asia-selamat-berjuang
33,"Hasil Lengkap Pebulutangkis Tanah Air di Indonesia Masters 2024, Selasa 23 Januari: 8 Menang, 3 Tersingkir",,https://www.bola.com/ragam/read/5512228/hasil-lengkap-pebulutangkis-tanah-air-di-indonesia-masters-2024-selasa-23-januari-8-menang-3-tersingkir
34,"Palestina Menang Telak atas Hong Kong dan Melaju ke 16 Besar Piala Asia 2023, Timnas Indonesia Tentukan Nasibnya Sendiri",,https://www.bola.com/indonesia/read/5512279/palestina-menang-telak-atas-hong-kong-dan-melaju-ke-16-besar-piala-asia-2023-timnas-indonesia-tentukan-nasibnya-sendiri
35,"Jelang Laga Terakhir Timnas Indonesia di Fase Grup Piala Asia 2023, PSSI: Tekanan Ada di Jepang",,https://www.bola.com/indonesia/read/5512214/jelang-laga-terakhir-timnas-indonesia-di-fase-grup-piala-asia-2023-pssi-tekanan-ada-di-jepang
36,"Prestasi Bulutangkis Indonesia Menurun, Masyarakat Tetap Percaya Pebulutangkis Tanah Air Bisa Dapat Medali di Olimpiade 2024",,https://www.bola.com/ragam/read/5512177/prestasi-bulutangkis-indonesia-menurun-masyarakat-tetap-percaya-pebulutangkis-tanah-air-bisa-dapat-medali-di-olimpiade-2024
37,"Piala Asia 2023: Beri Semangat, Ezra Walian Berharap Timnas Indonesia Tak Gentar Melawan Jepang",,https://www.bola.com/indonesia/read/5512119/piala-asia-2023-beri-semangat-ezra-walian-berharap-timnas-indonesia-tak-gentar-melawan-jepang
38,"Piala Asia 2023: Demi Bungkam Timnas Indonesia, Jepang Bakal Perlihatkan Penampilan Terbaik",,https://www.bola.com/indonesia/read/5512152/piala-asia-2023-demi-bungkam-timnas-indonesia-jepang-bakal-perlihatkan-penampilan-terbaik
39,Jadwal Lengkap Liga Italia Akhir Pekan Ini: Kesempatan Juventus Jauhi Kejaran Inter Milan di Puncak Klasemen,,https://www.bola.com/dunia/read/5511955/jadwal-lengkap-liga-italia-akhir-pekan-ini-kesempatan-juventus-jauhi-kejaran-inter-milan-di-puncak-klasemen
40,Trio Jebolan SAD Uruguay Dukung Pemain Naturalisasi Timnas Indonesia: Amunisi Lokal Jangan Takut Bersaing!,,https://www.bola.com/indonesia/read/5512098/trio-jebolan-sad-uruguay-dukung-pemain-naturalisasi-timnas-indonesia-amunisi-lokal-jangan-takut-bersaing
41,"Gawang Jepang Sudah 4 Kali Bobol di Piala Asia 2023, Bek Arsenal Incar Clean Sheet saat Hadapi Timnas Indonesia",,https://www.bola.com/indonesia/read/5512109/gawang-jepang-sudah-4-kali-bobol-di-piala-asia-2023-bek-arsenal-incar-clean-sheet-saat-hadapi-timnas-indonesia
42,"Suriah Menang atas India, Timnas Indonesia Masih Bisa Segel Tiket 16 Besar Piala Asia 2023 Tengah Malam Nanti Pukul 00.00 WIB",,https://www.bola.com/indonesia/read/5512186/suriah-menang-atas-india-timnas-indonesia-masih-bisa-segel-tiket-16-besar-piala-asia-2023-tengah-malam-nanti-pukul-0000-wib
43,"Hasil Piala Asia 2023: Suriah Taklukkan India, Tiket 16 Besar Belum di Genggaman Timnas Indonesia",,https://www.bola.com/indonesia/read/5512188/hasil-piala-asia-2023-suriah-taklukkan-india-tiket-16-besar-belum-di-genggaman-timnas-indonesia
44,Media Vietnam Puji Perubahan Taktik Shin Tae-yong saat Timnas Indonesia Gulung Vietnam di Piala Asia 2023,,https://www.bola.com/indonesia/read/5511949/media-vietnam-puji-perubahan-taktik-shin-tae-yong-saat-timnas-indonesia-gulung-vietnam-di-piala-asia-2023
45,"Jelang Hadapi Jepang di Piala Asia 2023, Justin Hubner: Bakal Jadi Pertandingan Sulit Timnas Indonesia, Tapi...",,https://www.bola.com/indonesia/read/5512162/jelang-hadapi-jepang-di-piala-asia-2023-justin-hubner-bakal-jadi-pertandingan-sulit-timnas-indonesia-tapi
46,"Timnas Indonesia Potensial Cetak Sejarah di Piala Asia 2023, Egy Maulana Vikri: Kesempatan di Depan Mata!",,https://www.bola.com/indonesia/read/5512107/timnas-indonesia-potensial-cetak-sejarah-di-piala-asia-2023-egy-maulana-vikri-kesempatan-di-depan-mata
47,Melaju Mulus ke Babak 16 Besar Indonesia Masters 2024: Fajar / Rian Enggan Tertekan,,https://www.bola.com/ragam/read/5512135/melaju-mulus-ke-babak-16-besar-indonesia-masters-2024-fajar-rian-enggan-tertekan
48,"Sudah Pasti Tersingkir dari Piala Asia 2023, Timnas Malaysia Diminta Tetap Ngotot Saat Hadapi Korea Selatan",,https://www.bola.com/indonesia/read/5511959/sudah-pasti-tersingkir-dari-piala-asia-2023-timnas-malaysia-diminta-tetap-ngotot-saat-hadapi-korea-selatan
49,"Rekor Pertemuan Jepang Vs Timnas Indonesia: Skuad Garuda Menang 7-0, tapi Hanya Masa Lalu",,https://www.bola.com/indonesia/read/5511860/rekor-pertemuan-jepang-vs-timnas-indonesia-skuad-garuda-menang-7-0-tapi-hanya-masa-lalu
